artist,title,
"Bad Religion",Empty Causes",
"Bad Religion",Hear It",
"Bad Religion",Inner Logic",
"Bad Religion",Punk Rock Song",
"Bad Religion",Ten in 2010",
"Bad Religion",Them And Us",
"Brian Setzer",Hot Rod Girl",
"Brian Setzer",Ignition",
"Burn the Fields",Escape Artist",
"Jonny Rumble",Black Radio",
"Lions Lions",Radiator",
"Methods Of Mayhem",Crash",
"Methods Of Mayhem",Who The Hell Cares",
"One Light Out",Orange Wednesday",
"Pivit",Fingercuffs",
"Pivit",Middle Children",
"SilverBullit",Boom Boom Boogie",
"SilverBullit",King of the Line",
"SilverBullit",Raw Power Angel",
"The Days The Nights",Radical Sabbatical",
"The Hooks",Get Out",
"The Juliet Dagger",Flinch",
"The Juliet Dagger",Ragdoll",
"The Juliet Dagger",Taking It Back",
"The Offspring",All I Want",
"The Offspring",Americana",
"The Offspring",Change The World",
"The Offspring",Come Out Swinging",
"The Offspring",No Brakes",
"The Offspring",One Fine Day",
"The Offspring",Special Delivery",
"The Offspring",Walla Walla",
"The Offspring",Want You Bad",
"The Offspring",Way Down The Line",
"The Vicious Five",Your Mouth Is A Guillotine",
"Theron Day",The Chase",
"Three Against Four",Jump Bink",
"Too Rude",The Distance",
"Total Chaos",Let It Roll",
"Total Chaos",What You Gonna Do",
"Various",Name Loop",
"We Are Invisible",Spy Chaser",
